1	IGFBP3	UNG	0.9242339440665941
2	MAPK12	POLD4	0.9128686759441264
3	CDK4	IGHMBP2	0.9118001409293446
4	MAPK12	XRCC2	0.8604803675370002
5	IGHMBP2	XRCC2	0.8602590909031063
6	PARP2	PMS2	0.8289023096113991
7	NHP2	PARP2	0.823512236788163
8	CDK2	PARP2	0.8151316347506329
9	IGFBP3	PARP2	0.8123028678249743
10	IGHMBP2	PARP2	0.8048891836746439
11	MAPK12	PARP2	0.8048619365548852
12	CDK6	PARP2	0.7898721049439763
13	HIST1H4A	PARP2	0.7841341649168084
14	PARP2	XRCC2	0.7754960760164745
15	HRAS	TBK1	0.672353062991256
16	DHX8	HRAS	0.6722284771388533
17	NRAS	TBK1	0.6718552909208474
18	DHX8	NRAS	0.6717272086573288
19	MYC	NRAS	0.618122434898375
20	HRAS	MAPK14	0.6154474076709842
21	MAPK14	NRAS	0.6135019370356817
22	EGFR	NRAS	0.5933927914536116
23	NRAS	TP53	0.578688257420237
24	NAE1	NLRP2	0.5404187025056966
25	HRAS	VDAC1	0.5082768460383086
26	NRAS	VDAC1	0.5045774288464501
27	NAE1	SRC	0.4838453470507422
28	NAE1	TIPARP	0.47979003901531
29	ATRX	NAE1	0.4367939218078643
30	NAE1	VAV3	0.43402523086601935
31	CRY2	NAE1	0.4320096667783276
32	PARP1	RAD51B	0.4301012701018115
33	BRCA1	BRCA2	0.4259635627334601
34	GADD45A	NAE1	0.41706722543608343
35	CCND1	NAE1	0.4152324845393121
36	NAE1	TNFRSF10B	0.41021425998905303
37	NAE1	POLD4	0.39975554990965795
38	AR	NAE1	0.39922653745097286
39	BCL2L11	CASP3	0.39756886247315837
40	PARP1	RAD51C	0.3970059943845692
41	NAE1	RBX1	0.3946682280818952
42	NAE1	ZBTB32	0.39384606107441095
43	NAE1	PRAM1	0.38828227518577296
44	NAE1	POLR2A	0.38360957496048853
45	IGHMBP2	NAE1	0.38086562041860694
46	IGF1	NAE1	0.38040357797522606
47	NAE1	NHP2	0.3794473342505778
48	NAE1	RELA	0.37178671296057275
49	NAE1	PML	0.37169529643909677
50	MDM4	NAE1	0.3699322341596776
51	MAPK12	NAE1	0.369453402635489
52	NAE1	RPL13A	0.36876566558703955
53	NAE1	WRAP53	0.3677763888689786
